episode,avg_reward
1,0.0
2,-1.9970917993021517
3,-13.682185118348286
4,-16.827019832277518
5,-14.156477752241777
6,-20.414679663321195
7,-19.403192157158486
8,-20.136587144151157
9,-20.510753632817504
10,-20.053549015295673
11,-17.32390458230225
12,-16.095721865984007
13,-13.14718920676049
14,-13.22516446513915
15,-13.320544960600776
16,-12.886167950708904
17,-14.997423222118949
18,-14.6895418227694
19,-14.143183930054898
20,-12.10944151359409
21,-10.543960386529758
22,-9.902334247128328
23,-8.964504583420393
24,-9.086688144541379
25,-11.272708215079318
26,-9.613376920712145
27,-10.763134276638821
28,-10.59666235862655
29,-11.002022666337112
30,-10.315449849148084
31,-9.972360812111571
32,-9.591778001602831
33,-10.217154446811845
34,-9.564678260372856
35,-10.056094093374824
36,-12.475781869898107
37,-10.502837374815503
38,-9.970111837490345
39,-9.816344829134469
40,-8.849535404073876
41,-8.946553373854945
42,-8.67310053953411
43,-9.438323222118534
44,-9.77758868673957
45,-9.793548022493377
46,-9.633193196575357
47,-12.826256691069592
48,-9.932684567213949
49,-10.181123382004323
50,-13.207848952282868
51,-11.491545203471532
52,-11.621168660712197
53,-13.821669716063125
54,-11.861952424003647
55,-15.600204092726312
56,-11.079329666434194
57,-11.2941614239935
58,-11.092353485407791
59,-12.897347589407703
60,-13.883355629222399
61,-10.583934770858813
62,-11.352845786947347
63,-13.909179852667881
64,-14.688204492333108
65,-12.334386604632986
66,-12.047297048068394
67,-12.52704971977175
68,-11.828447619174659
69,-11.378559061393812
70,-11.544645723312573
71,-11.40571983179889
72,-13.486522050067647
73,-12.458150098749135
74,-13.275233422335754
75,-12.434294530029566
76,-13.769272985951698
77,-12.614576353178483
78,-13.092091316532692
79,-13.627271097097278
80,-13.363956829844826
81,-12.041540710109581
82,-10.681237718622043
83,-10.052715954899032
84,-12.046711589479388
85,-10.239031799174203
86,-13.648391794072364
87,-13.829182676761278
88,-14.382549666704614
89,-14.9612785883049
90,-14.146634338285345
91,-13.219490910937692
92,-13.205360226875786
93,-13.573250844356208
94,-13.80670527062621
95,-12.078249536127414
96,-11.29135170093262
97,-10.537560446859699
98,-9.299332288512236
99,-12.13926645965954
100,-12.302597260427671
101,-11.395807921993088
102,-12.283118259867035
103,-10.940501389368748
104,-10.841473249611273
105,-11.00830234294746
106,-10.88878607018754
107,-10.263164664209038
108,-11.877184054524887
109,-11.342046216923533
110,-11.707309669954283
111,-9.825738357787765
112,-11.434278894797131
113,-14.14495369752423
114,-14.23357573156746
115,-14.05008268658214
116,-16.0119294275549
117,-14.351291221736455
118,-15.12769870735458
119,-13.95588100788596
120,-13.756106482183416
121,-14.400492295095605
122,-14.91643747096454
123,-14.317525149803773
124,-14.505217889744898
125,-14.692675093318556
126,-13.714102629708265
127,-14.54915257587537
128,-14.497625016019906
129,-13.986865356822374
130,-14.680670727251494
131,-14.62165426696211
132,-15.129994769405732
133,-15.695104954610102
134,-15.632095221409315
135,-14.976074155697159
136,-15.090859981416486
137,-14.136213304763544
138,-13.627573213630024
139,-15.071646225112968
140,-14.725562595439849
141,-15.192054040264853
142,-14.654727688218866
143,-14.660755751980403
144,-14.16867176239048
145,-13.846149878482354
146,-14.414087268209265
147,-15.475333329909038
148,-14.056264094965849
149,-15.542039451721243
150,-13.862019933352318
151,-14.28774683017934
152,-14.477067317437259
153,-14.602895131875277
154,-14.715462890126016
155,-14.222971164996506
156,-14.734133540556453
157,-13.776684580722828
158,-15.05860235940393
159,-14.220833727916187
160,-14.888027772551665
161,-15.11658280195521
162,-14.27871885902021
163,-14.957114113279882
164,-14.94576520880427
165,-15.140433646434527
166,-13.801787944911782
167,-16.167997302642966
168,-15.767116322379184
169,-15.803430979994385
170,-15.148372215524423
171,-17.053171839807607
172,-15.68303054495909
173,-17.39745260266827
174,-15.71189979285023
175,-15.407486790843254
176,-14.640220149998106
177,-16.253843339373873
178,-14.880798164156039
179,-14.038607615484258
180,-13.944659803738315
181,-14.607775198558878
182,-14.62575549195054
183,-10.878209269342037
184,-12.876884893913925
185,-12.592529693691196
186,-10.299668679654939
187,-12.233069780057432
188,-12.86997483874598
189,-11.977575952171808
190,-10.297790184019012
191,-11.344602930212284
192,-10.045890409884725
193,-12.189009784157117
194,-11.174450960720916
195,-11.03393777557509
196,-10.945214052690968
197,-12.072569148609432
198,-11.181056673408815
199,-10.593083293904188
200,-10.757872623127506
201,-10.193931853010492
202,-10.425216104410021
203,-9.294751280514479
204,-10.797970567785049
205,-9.2102944264928
206,-11.177331370665451
207,-9.082394701278144
208,-9.976977959057331
209,-8.824191099560116
210,-8.772361237045137
211,-8.341331692759198
212,-7.770051886578615
213,-7.314358141451349
214,-8.089717457487488
215,-8.237715056616453
216,-8.214995433299139
217,-4.553735622765331
218,-8.783947686887885
219,-8.009743099836527
220,-8.55273607960062
221,-9.753396872268459
222,-9.629532927191509
223,-8.204189764319743
224,-7.9149525789392365
225,-8.098608375469759
226,-7.900425680391634
227,-5.8614346905566554
228,-4.023437119546419
229,-8.121768913017736
230,-7.962462374153079
231,-7.72117076532316
232,-7.803940439258173
233,-7.642325362037326
234,-8.673589731263684
235,-7.7064366036123175
236,-8.234229517157885
237,-8.143468785944808
238,-8.388366156598694
239,-8.170850467805993
240,-9.35480769061767
241,-9.294774025490677
242,-8.023341955282557
243,-8.656749440184798
244,-7.678234128873233
245,-8.604324264790915
246,-9.153465465274897
247,-9.447563553569196
248,-7.263414277077777
249,-8.686477505289334
250,-7.639505456041161
251,-8.906973113992521
252,-9.820067660240289
253,-9.560588571741034
254,-9.57298331487269
255,-4.0111711358958555
256,-8.099353072505645
257,-10.363243449043473
258,-4.418277809179399
259,-9.38374742637983
260,-6.020469966744952
261,-6.202937446052345
262,-8.53762355728244
263,-7.130909522807036
264,-7.060764000749387
265,-4.340367270996934
266,-7.460439824134767
267,-5.419491978339627
268,-5.427878871358784
269,-4.0730623689308905
270,-6.60507044533396
271,-7.342070308122568
272,-6.565084271370757
273,-6.106524094201587
274,-8.961007846540879
275,-3.5142519251622053
276,-7.1074987804171785
277,-8.326131184737845
278,-6.058287952729826
279,-6.47594288939644
280,-6.929971776780838
281,-8.837288097238725
282,-6.7460376183270725
283,-7.56133991639494
284,-7.758339406661776
285,-2.8493289407305835
286,-5.642067606432737
287,-7.805911820317237
288,-3.450466388762214
289,-6.5464009079415675
290,-4.260643012912407
291,-3.6761553721620777
292,-4.641109604308314
293,-5.2807151594779045
294,-4.676657517744513
295,-4.47000598934338
296,-5.629993178760786
297,-3.957600178935494
298,-7.227495630994898
299,-8.255960220997606
300,-7.8125397389611315
301,-5.141461438665646
302,-3.4187213463455204
303,-4.402531690531928
304,-1.9498007003370308
305,-8.87885217287441
306,-2.499914301972847
307,-3.3022142927805804
308,-4.515700212100349
309,-4.280850708324084
310,-4.290973019092937
311,-5.339394709599944
312,-5.164600295320575
313,-4.3210237988892315
314,-1.253596533491474
315,-2.728840231453619
316,-2.280868851357601
317,-4.548576199182874
318,-3.19140233859108
319,-1.7498142012997306
320,-2.2467395643137564
321,-2.535965742625427
322,-1.9439775484158555
323,-1.5066449476835524
324,-1.1758160240372673
325,-1.8626067439007268
326,-1.3235440214488174
327,-2.667930248118278
328,-1.003299141455438
329,-1.484120846422903
330,-1.1045587412055746
331,-1.3670896326195867
332,-3.698980251558603
333,-1.5084248163020606
334,-1.5588810085136262
335,-1.5886733090272849
336,-0.9279946843808602
337,-1.5972429255271094
338,-1.3196791922511575
339,-1.1720959398952486
340,-2.288541433450347
341,-7.347236676636244
342,-1.084943263091807
343,-1.4222632588538646
